,Hotel_Address,lat,lng,City,Country,lat_updated,lon_updated
76,11 Bis rue Mazagran 10th arr 75010 Paris France,48.8708508,2.3515882,Paris,France,48.8534951,2.3483915
77,11 Cadogan Gardens Sloane Square Kensington and Chelsea London SW3 2RJ United Kingdom,51.4936161,-0.1592347,London,United Kingdom,51.4893335,-0.144055085
78,11 Knightsbridge Westminster Borough London SW1X 7LY United Kingdom,51.502485,-0.1539265,London,United Kingdom,51.4893335,-0.144055085
79,11 Rue d Astorg 8th arr 75008 Paris France,48.8728324,2.3193886,Paris,France,48.8534951,2.3483915
80,11 Rue de l Arcade 8th arr 75008 Paris France,48.871723,2.3235377,Paris,France,48.8534951,2.3483915
81,11 rue de Tr vise 9th arr 75009 Paris France,48.8732706,2.3450746,Paris,France,48.8534951,2.3483915
82,11 rue du 8 Mai 1945 10th arr 75010 Paris France,48.8761376,2.3572681,Paris,France,48.8534951,2.3483915
83,11 Rue Du Temple 4th arr 75004 Paris France,48.8581186,2.3529369,Paris,France,48.8534951,2.3483915
84,11 rue Paul Baudry 8th arr 75008 Paris France,48.8725794,2.3075779,Paris,France,48.8534951,2.3483915
85,11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS United Kingdom,51.4959227,-0.1702917,London,United Kingdom,51.4893335,-0.144055085
86,110 rue Blomet 15th arr 75015 Paris France,48.8405612,2.2991035,Paris,France,48.8534951,2.3483915
87,111 avenue de la Bourdonnais 7th arr 75007 Paris France,48.8550466,2.304583,Paris,France,48.8534951,2.3483915
88,111 Cromwell Road Kensington and Chelsea London SW7 4DP United Kingdom,51.4945522,-0.1861213,London,United Kingdom,51.4893335,-0.144055085
89,111 Westminster Bridge Road Lambeth London SE1 7JD United Kingdom,51.4990953,-0.1132136,London,United Kingdom,51.4893335,-0.144055085
90,112 boulevard de S bastopol 3rd arr 75003 Paris France,48.8687425,2.3541761,Paris,France,48.8534951,2.3483915
91,113 Lambeth Rd Lambeth London SE1 7LS United Kingdom,51.4948465,-0.1187481,London,United Kingdom,51.4893335,-0.144055085
92,116 Piccadilly Westminster Borough London W1J 7BJ United Kingdom,51.504716,-0.1475618,London,United Kingdom,51.4893335,-0.144055085
